Name,Address,Phone,Rating,Category,Website,Latitude,Longitude
Starbucks Taksim,Taksim Meydanı No:1 Beyoğlu/İstanbul,+90 212 123 45 67,4.2,Kafe,https://starbucks.com,41.0370,28.9850
Kahve Dünyası Nişantaşı,Nişantaşı Caddesi No:25 Şişli/İstanbul,+90 212 987 65 43,4.0,Kafe,https://kahvedunyasi.com,41.0455,28.9881
Gloria Jeans Kanyon,Kanyon AVM Kat:2 Levent/İstanbul,+90 212 456 78 90,4.5,Kafe,https://gloriajeans.com,41.0810,29.0090
Nero Coffee İstiklal,İstiklal Caddesi No:200 Beyoğlu/İstanbul,+90 212 555 44 33,3.8,Kafe,https://nero.com,41.0362,28.9772
Çikolata Café Bağdat,Bağdat Caddesi No:150 Kadıköy/İstanbul,+90 216 333 22 11,4.3,Kafe,https://cikolata.com,40.9673,29.0815
Mado Beşiktaş,Beşiktaş Meydanı No:5 Beşiktaş/İstanbul,+90 212 777 88 99,4.1,Restoran,https://mado.com,41.0428,29.0070
Pandora Cafe Etiler,Etiler Caddesi No:80 Beşiktaş/İstanbul,+90 212 666 55 44,4.4,Kafe,https://pandora.com,41.0770,29.0250
Starbucks Zorlu,Zorlu Center AVM Beşiktaş/İstanbul,+90 212 888 99 00,4.0,Kafe,https://starbucks.com,41.0680,29.0120
Caribou Coffee Akasya,Akasya AVM Acıbadem/İstanbul,+90 216 111 22 33,3.9,Kafe,https://caribou.com,40.9885,29.1050
Espresso Lab Maslak,Maslak Mahallesi No:42 Sarıyer/İstanbul,+90 212 444 55 66,4.6,Kafe,https://espressolab.com,41.1090,29.0210
